City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
88,Bilibino,RU,2022-09-30 18:24:28,68.0546,166.4372,24.93,91,100,2.06
89,Ribeira Grande,PT,2022-09-30 18:24:28,38.5167,-28.7,73.8,56,40,8.05
90,Melfort,CA,2022-09-30 18:24:29,52.8667,-104.6177,51.93,87,100,12.66
91,Bluff,NZ,2022-09-30 18:24:29,-46.6,168.3333,37.92,83,7,6.13
92,Axim,GH,2022-09-30 18:24:29,4.8699,-2.2405,76.75,86,37,8.12
93,Skibbereen,IE,2022-09-30 18:24:30,51.55,-9.2667,58.51,83,88,22.44
94,Dikson,RU,2022-09-30 18:24:30,73.5069,80.5464,35.53,84,100,17.6
95,Penzance,GB,2022-09-30 18:24:31,50.1186,-5.5371,61.48,91,100,27.07
96,Nome,US,2022-09-30 18:24:31,64.5011,-165.4064,32.07,81,0,3.44
97,Barabai,ID,2022-09-30 18:24:32,-2.5833,115.3833,73.98,96,96,1.12
98,Cape Town,ZA,2022-09-30 18:21:15,-33.9258,18.4232,61.21,73,20,8.05
99,Yanam,IN,2022-09-30 18:24:33,16.7333,82.2167,76.6,90,100,2.66
100,Suntar,RU,2022-09-30 18:24:34,62.1444,117.6319,24.35,85,97,0.58
101,Mandera,KE,2022-09-30 18:24:34,3.9366,41.867,87.35,35,53,7.99
102,Batagay-Alyta,RU,2022-09-30 18:24:35,67.8006,130.4114,17.78,94,100,3.4
103,Nikolskoye,RU,2022-09-30 18:24:35,59.7035,30.7861,46.8,96,81,5.93
104,Paracuru,BR,2022-09-30 18:24:36,-3.41,-39.0306,80.11,60,52,16.71
105,Krabi,TH,2022-09-30 18:24:37,8.0726,98.9105,80.06,99,75,11.5
106,Roblin,CA,2022-09-30 18:24:37,51.23,-101.3565,62.17,55,89,15.32
107,Doka,SD,2022-09-30 18:24:38,13.5167,35.7667,73.33,83,81,6.46
108,Tiznit,MA,2022-09-30 18:24:38,29.5833,-9.5,67.41,69,12,8.34
109,Saldanha,ZA,2022-09-30 18:24:39,-33.0117,17.9442,59.05,85,47,9.66
110,Staraya Toropa,RU,2022-09-30 18:24:39,56.2801,31.6702,45.27,87,96,2.68
111,Beidao,CN,2022-09-30 18:24:40,34.5686,105.8933,63.41,75,100,4.56
112,Souillac,MU,2022-09-30 18:24:40,-20.5167,57.5167,70.18,78,40,4.61
113,Hofn,IS,2022-09-30 18:24:40,64.2539,-15.2082,51.82,71,100,10.36
114,Horki,BY,2022-09-30 18:24:41,54.2861,30.9842,48.87,89,86,2.77
115,Montepuez,MZ,2022-09-30 18:24:41,-13.1256,38.9997,72.3,54,10,9.93
116,Tessalit,ML,2022-09-30 18:24:42,20.1986,1.0114,100.58,13,48,7.87
117,Tasiilaq,GL,2022-09-30 18:24:42,65.6145,-37.6368,42.96,75,100,4.79
118,Sao Filipe,CV,2022-09-30 18:24:43,14.8961,-24.4956,79.81,86,50,6.89
119,Azangaro,PE,2022-09-30 18:24:43,-14.9167,-70.2167,63.19,12,64,2.3
120,Yellowknife,CA,2022-09-30 18:24:44,62.456,-114.3525,50.56,76,20,24.16
121,Cidreira,BR,2022-09-30 18:24:44,-30.1811,-50.2056,64.02,75,99,17.6
122,Jamestown,US,2022-09-30 18:23:24,42.097,-79.2353,61.02,51,0,4.61
123,Arraial Do Cabo,BR,2022-09-30 18:20:11,-22.9661,-42.0278,71.56,64,75,11.5
124,Ryotsu,JP,2022-09-30 18:24:45,38.0833,138.4333,69.26,78,0,1.68
125,Yar-Sale,RU,2022-09-30 18:24:46,66.8333,70.8333,29.91,78,40,9.86
126,Faanui,PF,2022-09-30 18:24:46,-16.4833,-151.75,77.47,72,0,11.01
127,Lorengau,PG,2022-09-30 18:24:47,-2.0226,147.2712,80.89,74,99,5.37
128,Vostochnyy,RU,2022-09-30 18:24:47,55.8167,37.8667,57.18,97,94,5.7
129,Thompson,CA,2022-09-30 18:24:48,55.7435,-97.8558,41.16,56,75,4.61
130,Mar Del Plata,AR,2022-09-30 18:24:48,-38.0023,-57.5575,62.62,74,20,13.8
131,Ixtapa,MX,2022-09-30 18:22:25,20.7,-105.2,89.22,62,0,5.01
132,Turka,UA,2022-09-30 18:25:49,49.1541,23.0297,53.15,95,89,6.17
133,East London,ZA,2022-09-30 18:25:50,-33.0153,27.9116,67.14,88,0,10.36
134,Touros,BR,2022-09-30 18:25:51,-5.1989,-35.4608,83.17,56,75,18.05
135,Qaanaaq,GL,2022-09-30 18:25:52,77.484,-69.3632,18.93,71,92,11.03
136,Kalmunai,LK,2022-09-30 18:25:52,7.4167,81.8167,81.1,68,89,5.84
137,Balabac,PH,2022-09-30 18:25:52,7.9868,117.0645,80.37,83,93,7.63
138,Damaturu,NG,2022-09-30 18:25:53,11.747,11.9608,86.27,51,82,6.93
139,Jumla,NP,2022-09-30 18:25:53,29.2747,82.1838,53.04,90,33,2.91
140,Havre-Saint-Pierre,CA,2022-09-30 18:25:54,50.2334,-63.5986,53.96,71,0,19.57
141,Mahebourg,MU,2022-09-30 18:25:55,-20.4081,57.7,70.09,78,40,4.61
142,Clyde River,CA,2022-09-30 18:25:55,70.4692,-68.5914,30.43,80,100,20.71
143,Puerto Ayora,EC,2022-09-30 18:25:55,-0.7393,-90.3518,75.16,94,96,7.0
144,Soyo,AO,2022-09-30 18:25:56,-6.1349,12.3689,75.58,87,70,9.66
145,Dunedin,NZ,2022-09-30 18:25:57,-45.8742,170.5036,39.79,79,4,4.45
146,Hoa Binh,VN,2022-09-30 18:25:57,20.8133,105.3383,75.79,95,100,1.39
147,Abbeville,FR,2022-09-30 18:25:57,50.1,1.8333,58.96,62,97,16.67
148,Kano,NG,2022-09-30 18:25:58,12.0001,8.5167,84.6,49,97,6.71
149,Bubaque,GW,2022-09-30 18:25:58,11.2833,-15.8333,79.54,80,100,12.44
150,Lagos,NG,2022-09-30 18:21:59,6.5833,3.75,77.32,94,100,3.51
151,Lazaro Cardenas,MX,2022-09-30 18:25:17,17.9583,-102.2,85.39,68,53,2.82
152,Barbalha,BR,2022-09-30 18:25:59,-7.3111,-39.3042,94.8,20,40,4.61
153,Macon,US,2022-09-30 18:23:24,39.8667,-88.9668,67.75,52,0,12.66
154,Port Hardy,CA,2022-09-30 18:26:00,50.6996,-127.4199,53.78,100,75,3.44
155,Vilyuysk,RU,2022-09-30 18:26:01,63.7553,121.6247,22.24,87,54,3.91
156,Buraydah,SA,2022-09-30 18:26:01,26.326,43.975,82.85,13,0,9.01
157,Zurrieq,MT,2022-09-30 18:26:01,35.8311,14.4742,76.96,94,20,23.02
158,Ilulissat,GL,2022-09-30 18:26:02,69.2167,-51.1,35.62,80,75,2.3
159,Pyshma,RU,2022-09-30 18:26:02,56.9523,63.2513,25.3,89,4,6.44
160,Bardiyah,LY,2022-09-30 18:26:03,31.7561,25.0865,82.29,65,0,7.56
161,Nyandoma,RU,2022-09-30 18:26:03,61.669,40.1991,45.61,99,100,5.23
162,Kruisfontein,ZA,2022-09-30 18:26:04,-34.0033,24.7314,61.72,88,100,18.28
163,Sola,VU,2022-09-30 18:26:04,-13.8833,167.55,80.2,67,82,5.28
164,Hermanus,ZA,2022-09-30 18:26:04,-34.4187,19.2345,57.79,84,66,10.4
165,Jiangyou,CN,2022-09-30 18:26:05,31.7667,104.7167,66.51,95,96,1.01
166,Ahipara,NZ,2022-09-30 18:26:05,-35.1667,173.1667,61.66,92,100,13.35
167,Upernavik,GL,2022-09-30 18:26:06,72.7868,-56.1549,22.21,78,61,5.21
168,Provideniya,RU,2022-09-30 18:21:47,64.3833,-173.3,34.97,71,58,12.35
169,Roebourne,AU,2022-09-30 18:26:07,-20.7833,117.1333,70.56,75,0,7.96
170,Lakselv,NO,2022-09-30 18:26:07,70.0513,24.9718,37.22,81,0,11.5
171,Turbat,PK,2022-09-30 18:26:08,26.0023,63.044,80.74,65,0,10.2
172,Kapra,IN,2022-09-30 18:26:09,17.4846,78.561,75.9,93,100,5.32
173,Umm Lajj,SA,2022-09-30 18:26:09,25.0213,37.2685,87.3,49,0,5.35
174,Abong Mbang,CM,2022-09-30 18:26:10,3.9833,13.1833,69.24,95,69,1.7
175,Kysyl-Syr,RU,2022-09-30 18:26:10,63.8986,122.7617,21.87,89,36,4.09
176,Husavik,IS,2022-09-30 18:26:10,66.0449,-17.3389,44.15,98,100,13.47
177,Ponta Do Sol,PT,2022-09-30 18:26:11,32.6667,-17.1,73.71,84,88,4.65
178,Lubao,PH,2022-09-30 18:26:12,14.9167,120.55,82.11,89,47,4.27
179,Aasiaat,GL,2022-09-30 18:27:12,68.7098,-52.8699,32.52,98,100,7.58
180,Cedar City,US,2022-09-30 18:22:37,37.6775,-113.0619,69.4,52,100,6.91
181,Kimbe,PG,2022-09-30 18:27:13,-5.5502,150.1429,73.83,90,10,4.29
182,Kapchorwa,UG,2022-09-30 18:27:13,1.3965,34.4509,60.19,75,87,3.36
183,Kavaratti,IN,2022-09-30 18:27:14,10.5669,72.642,81.3,77,96,11.9
184,Nautla,MX,2022-09-30 18:27:14,20.2167,-96.7833,81.79,58,15,12.93
185,Cubara,CO,2022-09-30 18:27:14,7.0008,-72.1085,84.99,64,88,2.8
186,Skibotn,NO,2022-09-30 18:27:15,69.3913,20.2679,38.57,70,33,9.75
187,Sorgun,TR,2022-09-30 18:27:15,39.8101,35.186,66.22,41,3,2.33
188,Pevek,RU,2022-09-30 18:27:17,69.7008,170.3133,29.14,80,100,5.84
189,Pitkyaranta,RU,2022-09-30 18:27:18,61.5734,31.4792,47.25,88,100,10.87
190,Pisco,PE,2022-09-30 18:25:00,-13.7,-76.2167,66.25,68,0,10.36
191,Jalu,LY,2022-09-30 18:27:18,29.0331,21.5482,94.66,17,0,10.78
192,Oktyabrskiy,RU,2022-09-30 18:27:19,54.4815,53.471,42.8,86,100,6.85
193,Guerrero Negro,MX,2022-09-30 18:27:19,27.9769,-114.0611,76.33,67,2,10.87
194,Sambava,MG,2022-09-30 18:27:20,-14.2667,50.1667,69.21,79,2,11.56
195,Oistins,BB,2022-09-30 18:24:44,13.0667,-59.5333,86.09,79,40,13.8
196,Izazi,TZ,2022-09-30 18:27:20,-7.2,35.7333,79.86,40,88,7.96
197,Westport,US,2022-09-30 18:27:21,41.1415,-73.3579,65.08,62,0,6.91
198,Acari,PE,2022-09-30 18:27:21,-15.4311,-74.6158,75.54,44,100,10.51
199,Balatonlelle,HU,2022-09-30 18:27:22,46.7832,17.695,57.29,83,94,4.74
200,Nanortalik,GL,2022-09-30 18:27:22,60.1432,-45.2371,39.11,77,38,9.08
201,Moose Factory,CA,2022-09-30 18:27:23,51.2585,-80.6094,46.4,81,100,9.22
202,Vao,NC,2022-09-30 18:27:23,-22.6667,167.4833,71.26,82,86,15.86
203,Rincon,US,2022-09-30 18:27:23,32.296,-81.2354,66.16,72,100,14.97
204,Katsuura,JP,2022-09-30 18:27:24,35.1333,140.3,72.1,84,47,12.24
205,Hami,CN,2022-09-30 18:27:24,42.8,93.45,60.35,35,100,8.99
206,Victoria,HK,2022-09-30 18:25:44,22.2855,114.1577,80.65,90,99,5.01
207,High Prairie,CA,2022-09-30 18:27:25,55.4334,-116.4858,66.76,48,71,11.25
208,Tura,IN,2022-09-30 18:27:26,25.5198,90.2201,75.6,88,100,3.06
209,Ketchikan,US,2022-09-30 18:27:26,55.3422,-131.6461,55.87,100,100,11.5
210,Ridgecrest,US,2022-09-30 18:26:25,35.6225,-117.6709,85.01,17,0,3.44
211,Comodoro Rivadavia,AR,2022-09-30 18:27:27,-45.8667,-67.5,62.46,34,0,13.8
212,Tashtagol,RU,2022-09-30 18:27:27,52.7657,87.8894,28.2,94,100,4.16
213,Almaznyy,RU,2022-09-30 18:27:29,48.0448,40.045,64.11,60,17,4.32
214,Sao Joao Da Barra,BR,2022-09-30 18:27:07,-21.6403,-41.0511,73.49,69,95,9.75
215,Arlit,NE,2022-09-30 18:27:30,18.7369,7.3853,92.52,28,49,23.62
216,Unguia,CO,2022-09-30 18:27:30,8.0434,-77.0945,87.82,63,98,3.8
217,Batticaloa,LK,2022-09-30 18:27:31,7.7102,81.6924,80.78,68,92,8.39
218,Pangobilian,PH,2022-09-30 18:27:31,8.8011,117.8594,79.75,86,93,6.02
219,Aklavik,CA,2022-09-30 18:27:32,68.2191,-135.0107,31.51,93,84,7.2
220,Bonavista,CA,2022-09-30 18:27:32,48.6499,-53.1147,54.86,67,22,4.79
221,Rorvik,NO,2022-09-30 18:27:33,64.8621,11.2373,50.11,62,0,8.05
222,Port Alfred,ZA,2022-09-30 18:27:33,-33.5906,26.891,67.17,92,100,5.01
223,Ginda,IN,2022-09-30 18:27:34,30.6945,78.4932,57.63,81,5,6.4
224,San Patricio,US,2022-09-30 18:28:35,28.017,-97.5169,89.55,41,0,5.91
225,Camocim,BR,2022-09-30 18:28:35,-2.9022,-40.8411,87.73,57,27,19.93
226,Cavaillon,FR,2022-09-30 18:28:36,43.8312,5.0359,59.99,67,0,18.41
227,Marawi,PH,2022-09-30 18:28:42,7.9986,124.2928,68.95,95,80,1.72
228,Karonga,MW,2022-09-30 18:28:44,-9.9333,33.9333,76.1,63,76,2.21
229,Fuling,CN,2022-09-30 18:28:44,29.7022,107.3919,75.81,77,23,3.31
230,Tuzha,RU,2022-09-30 18:28:44,57.6062,47.936,46.45,92,100,9.26
231,Wajir,KE,2022-09-30 18:28:45,1.7471,40.0573,87.12,32,100,7.38
232,Cayenne,GF,2022-09-30 18:28:45,4.9333,-52.3333,91.44,52,20,13.8
233,Ambilobe,MG,2022-09-30 18:28:46,-13.2,49.05,70.23,71,32,3.18
234,Narsaq,GL,2022-09-30 18:28:46,60.9167,-46.05,41.22,70,93,2.93
235,Saint Anthony,US,2022-09-30 18:28:47,45.0205,-93.218,72.79,43,0,11.5
236,Young,UY,2022-09-30 18:28:47,-32.6833,-57.6333,69.03,47,40,6.55
237,Rocha,UY,2022-09-30 18:28:48,-34.4833,-54.3333,62.82,62,98,8.14
238,Ranfurly,NZ,2022-09-30 18:28:48,-45.1333,170.1,28.11,96,9,0.58
239,Georgetown,MY,2022-09-30 18:24:02,5.4112,100.3354,81.95,90,40,8.05
240,Ostrovnoy,RU,2022-09-30 18:28:49,68.0531,39.5131,35.22,93,100,9.35
241,Sorong,ID,2022-09-30 18:28:49,-0.8833,131.25,77.76,87,91,2.24
242,Grand-Lahou,CI,2022-09-30 18:28:50,5.1367,-5.0242,77.0,88,36,9.48
243,Vila Franca Do Campo,PT,2022-09-30 18:28:50,37.7167,-25.4333,74.19,78,69,2.62
244,Severo-Kurilsk,RU,2022-09-30 18:28:50,50.6789,156.125,50.85,94,99,14.63
245,Haradok,BY,2022-09-30 18:28:51,55.4624,29.9816,44.71,82,85,0.92
246,Lensk,RU,2022-09-30 18:28:51,60.7253,114.9278,25.29,84,50,3.65
247,Umea,SE,2022-09-30 18:28:52,63.8284,20.2597,41.92,93,100,2.3
248,Kodiak,US,2022-09-30 18:28:52,57.79,-152.4072,38.71,87,0,4.61
249,Muzaffarabad,PK,2022-09-30 18:28:52,34.37,73.4711,69.17,75,1,4.56
250,Gland,CH,2022-09-30 18:28:53,46.4208,6.2701,55.38,84,63,3.76
251,Kirkwall,GB,2022-09-30 18:28:53,58.9848,-2.9587,51.85,82,40,14.97
252,Limon,CR,2022-09-30 18:28:54,10.0,-83.0333,88.05,70,0,11.5
253,Tilichiki,RU,2022-09-30 18:28:54,60.4667,166.1,33.71,99,100,6.8
254,Broome,US,2022-09-30 18:27:16,42.2506,-75.833,60.46,63,0,1.99
255,Te Anau,NZ,2022-09-30 18:28:55,-45.4167,167.7167,31.51,96,25,1.3
256,Honningsvag,NO,2022-09-30 18:28:55,70.9821,25.9704,42.55,65,75,6.91
257,Jalingo,NG,2022-09-30 18:28:56,8.8833,11.3667,76.48,85,73,1.3
258,Coihaique,CL,2022-09-30 18:24:28,-45.5752,-72.0662,57.15,35,20,8.05
259,Vieste,IT,2022-09-30 18:28:56,41.8825,16.175,73.06,77,99,16.55
260,Sergeyevka,KZ,2022-09-30 18:28:57,53.88,67.4158,29.91,60,4,5.48
261,Aulum,DK,2022-09-30 18:28:57,56.2649,8.787,51.91,91,45,9.42
262,Arrifes,PT,2022-09-30 18:28:58,37.7667,-25.7,72.23,88,75,3.44
263,Adrar,MR,2022-09-30 18:28:58,20.5022,-10.0711,89.02,20,0,15.03
264,Takoradi,GH,2022-09-30 18:28:58,4.8845,-1.7554,77.32,84,46,10.2
265,Marrakesh,MA,2022-09-30 18:28:34,31.6315,-8.0083,75.27,46,40,11.5
266,Abha,SA,2022-09-30 18:28:59,18.2164,42.5053,64.22,77,0,4.61
267,Chicama,PE,2022-09-30 18:28:33,-7.8447,-79.1469,59.54,59,74,11.32
268,Lasa,IT,2022-09-30 18:28:59,46.6166,10.7002,54.48,98,100,2.71
269,Susanville,US,2022-09-30 18:29:00,40.4163,-120.653,68.67,41,0,8.01
270,Mayo,US,2022-09-30 18:30:00,38.8876,-76.5119,63.03,79,75,8.05
271,Champerico,GT,2022-09-30 18:30:01,14.3,-91.9167,90.14,72,44,5.41
272,Rovaniemi,FI,2022-09-30 18:30:01,66.5,25.7167,36.81,93,100,2.3
273,Slave Lake,CA,2022-09-30 18:30:02,55.2834,-114.769,62.58,72,40,8.05
274,Tupik,RU,2022-09-30 18:30:02,54.4253,119.9327,31.23,88,100,4.59
275,Paamiut,GL,2022-09-30 18:30:02,61.994,-49.6678,35.89,82,100,10.18
276,Skegness,GB,2022-09-30 18:30:06,53.1436,0.3363,54.34,88,100,28.97
277,Koszalin,PL,2022-09-30 18:30:07,54.1944,16.1722,56.68,57,91,6.64
278,San Cristobal,VE,2022-09-30 18:30:08,7.7669,-72.225,75.38,48,74,4.99
279,Flin Flon,CA,2022-09-30 18:30:08,54.7682,-101.865,46.24,76,100,8.05
280,Plouzane,FR,2022-09-30 18:25:55,48.3833,-4.6167,59.32,100,100,24.16
281,Nemuro,JP,2022-09-30 18:30:09,43.3236,145.575,63.61,92,0,14.54
282,Butterworth,MY,2022-09-30 18:30:10,5.3991,100.3638,77.05,90,40,8.05
283,Tamandare,BR,2022-09-30 18:28:14,-8.7597,-35.1047,80.11,65,93,11.12
284,Talnakh,RU,2022-09-30 18:30:10,69.4865,88.3972,31.21,97,100,5.88
285,Keetmanshoop,NA,2022-09-30 18:30:11,-26.5833,18.1333,72.97,8,51,10.65
286,Uyuni,BO,2022-09-30 18:30:11,-20.4597,-66.825,56.48,9,0,14.32
287,Leningradskiy,RU,2022-09-30 18:29:19,69.3833,178.4167,24.13,80,100,9.24
288,Pathein,MM,2022-09-30 18:30:12,16.7833,94.7333,76.08,93,98,3.27
289,Campos Belos,BR,2022-09-30 18:30:14,-13.0367,-46.7717,96.67,17,79,6.58
290,Sitka,US,2022-09-30 18:30:14,57.0531,-135.33,55.29,88,100,0.0
291,Tacuarembo,UY,2022-09-30 18:30:15,-31.7333,-55.9833,61.88,73,88,10.78
292,Vicksburg,US,2022-09-30 18:30:15,32.3526,-90.8779,78.48,31,0,16.11
293,Esso,RU,2022-09-30 18:30:16,55.9333,158.7,30.79,97,96,2.93
294,Klyavlino,RU,2022-09-30 18:30:16,54.2649,52.0267,44.92,81,100,8.46
