,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
370,Shakawe,BW,70.66,clear sky,-18.3667,21.85,Ditlhapi Guest House
371,Vani,GE,60.49,mist,42.0832,42.5216,სასტუმრო ამირანი
374,Arrifes,PT,68.23,scattered clouds,37.7667,-25.7,Hotel Ponta Delgada
381,Axim,GH,75.24,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
387,Mattawa,US,78.01,overcast clouds,46.7379,-119.9028,Sun & Sand Mobile Home Park
388,Porto Velho,BR,78.85,clear sky,-8.7619,-63.9039,Ecos Hotel Conforto
390,Sirsi,IN,68.2,overcast clouds,14.6167,74.85,Tripvillas @ Sapna Yatri Nivas
392,Marzuq,YE,71.22,scattered clouds,14.4,46.4667,حيد القفلة
397,Inhambane,MZ,74.44,broken clouds,-23.865,35.3833,Oceano
402,Roseburg,US,78.51,clear sky,43.2165,-123.3417,"Holiday Inn Express Roseburg, an IHG Hotel"
403,Arouca,TT,79.93,overcast clouds,10.6333,-61.3333,Palms Hotel Trinidad
410,Manbij,SY,74.19,scattered clouds,36.5281,37.9549,Manbej City Hotel
412,Mazara Del Vallo,IT,67.93,clear sky,37.6641,12.588,Vizier Resort & Spa
415,Bandarbeyla,SO,76.05,overcast clouds,9.4942,50.8122,JABIR HOTEL
416,Colares,PT,71.78,clear sky,38.7992,-9.4469,Arribas Sintra Hotel
418,Vanderhoof,CA,63.55,overcast clouds,54.0166,-124.0198,Vanderhoof Inn
420,Russell,US,65.43,scattered clouds,32.3502,-85.1999,Macs
421,Savelugu,GH,76.14,broken clouds,9.6244,-0.8253,Yoo Naa's Palace
423,Muscle Shoals,US,64.54,clear sky,34.7448,-87.6675,Microtel Inn & Suites by Wyndham Tuscumbia/Muscle Shoals
425,Cochrane,CA,67.91,scattered clouds,51.1834,-114.4687,Days Inn & Suites by Wyndham Cochrane
427,Panaba,MX,72.68,broken clouds,21.2833,-88.2667,Hotel Don Fernando
428,Matay,EG,72.64,clear sky,28.419,30.7792,Nag Aespen
429,Souillac,MU,70.0,overcast clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
432,Rodrigues Alves,BR,78.26,clear sky,-7.738,-72.6509,Pousada Aconchego
434,Rosetta,EG,74.84,clear sky,31.4044,30.4164,Green Valley
435,Tamandare,BR,74.57,few clouds,-8.7597,-35.1047,Pousada 100 Passos
436,Vila Franca Do Campo,PT,70.2,light rain,37.7167,-25.4333,Pestana Bahia Praia
437,Tateyama,JP,76.1,light rain,34.9833,139.8667,Tateyama Seaside Hotel
442,Mongar,BT,62.4,overcast clouds,27.2747,91.2396,Wangchuk Hotel
449,Vao,NC,68.72,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
452,Nalgonda,IN,75.58,light rain,17.05,79.2667,Sai Krishna Residency
454,Alofi,NU,77.63,few clouds,-19.0595,-169.9187,Taloa Heights
458,Ngunguru,NZ,62.82,light rain,-35.6167,174.5,Pacific Rendezvous Motel Resort
460,San Juan,AR,67.51,scattered clouds,-31.5375,-68.5364,Hotel Provincial
461,Kharan,PK,73.31,clear sky,28.5833,65.4167,Dil Aram Bangla
462,Mwinilunga,ZM,64.67,scattered clouds,-11.7358,24.4293,Kwakuwahi Lodge
463,Villa Rica,US,67.39,clear sky,33.7321,-84.9191,Super 8 by Wyndham Villa Rica
464,Kiama,AU,62.38,light rain,-34.6833,150.8667,The Sebel Kiama Harbourside
467,Kuryk,KZ,62.73,clear sky,43.2,51.65,Gostinitsa Kuryk - Otel' Dlya Vsekh Kategoriy Kliyentov .
469,Carora,VE,77.65,broken clouds,10.1755,-70.0827,Hotel Irpinia
472,Den Helder,NL,62.58,overcast clouds,52.9599,4.7593,Hotel Den Helder
473,Los Llanos De Aridane,ES,77.13,clear sky,28.6585,-17.9182,Valle Aridane
478,Pathein,MM,77.95,broken clouds,16.7833,94.7333,Pathein Hotel
479,Tamiahua,MX,75.69,broken clouds,21.2667,-97.45,Mission Of The Sun Hotel
480,Labrea,BR,78.93,overcast clouds,-7.2586,-64.7981,Hotel Novo Horizonte
481,Nushki,PK,65.3,clear sky,29.5542,66.0215,Shams hotel
484,Faya,SA,63.12,few clouds,18.3851,42.4509,شيلة نسايم
485,Puerto El Triunfo,SV,77.04,overcast clouds,13.2833,-88.55,Hotel Jardin
488,Alanya,TR,69.93,few clouds,36.5438,31.9998,Panorama Hotel
491,Juba,SS,67.5,light rain,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
494,Ismailia,EG,69.4,clear sky,30.6043,32.2723,Mercure Ismailia Forsan Island Hotel
498,Nchelenge,ZM,72.21,overcast clouds,-9.3451,28.734,KD Travellers Home
499,Dhilwan,IN,71.94,clear sky,31.5169,75.35,Janj Ghar
501,Tupelo,US,64.69,clear sky,34.2576,-88.7034,"Hilton Garden Inn Tupelo, MS"
504,Ayolas,PY,60.64,clear sky,-27.4,-56.9,Hotel Ayolas
507,Oussouye,SN,79.11,few clouds,12.485,-16.5469,Auberge du Routard
509,Rawson,AR,64.15,overcast clouds,-43.3002,-65.1023,Hosteria Sampedro
511,Hargeysa,SO,68.74,overcast clouds,9.56,44.065,City Center Hotel
512,Cortez,US,63.36,clear sky,37.3489,-108.5859,Sand Canyon National 9 Inn
514,Tukrah,LY,73.33,clear sky,32.5341,20.5791,Lagrota restaurant
518,Byron Bay,AU,70.95,overcast clouds,-28.65,153.6167,Backpackers Inn
519,Qui Nhon,VN,79.12,overcast clouds,13.7667,109.2333,Seagull Hotel
524,Ureki,GE,66.16,overcast clouds,41.9956,41.7786,Hotel Ritsa
526,Deulgaon Raja,IN,72.43,overcast clouds,20.0167,76.0333,Hotel YOGIRAJ LODGING & BOARDIING
531,Nelson Bay,AU,64.11,light rain,-32.7167,152.15,Mantra Nelson Bay
533,Lachi,PK,77.81,clear sky,33.3833,71.3386,Stil sadabahar
534,Abnub,EG,74.77,clear sky,27.2696,31.1511,دوار ال عبد الجواد شرق البلد بابنوب
537,Soyo,AO,75.02,overcast clouds,-6.1349,12.3689,Hospedaria ndozi'ame
538,Eureka,US,72.68,broken clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
539,Olinda,BR,78.53,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
542,Otane,NZ,65.01,light rain,-39.8833,176.6333,Ludlow Farmstay
544,Mpika,ZM,60.78,scattered clouds,-11.8343,31.4529,Melodies Lodge
548,Patancheru,IN,74.26,overcast clouds,17.5314,78.265,Sri Ganapathi Lodge
552,Ocala,US,66.97,clear sky,29.1872,-82.1401,Shangri La Motel
555,Cabedelo,BR,75.45,scattered clouds,-6.9811,-34.8339,Pousada Camboinha
556,Norton,ZW,69.26,clear sky,-17.8833,30.7,Twinlakes Guest House
557,Mogadishu,SO,76.86,scattered clouds,2.0371,45.3438,Hotel Juba
565,Acari,PE,63.99,few clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
567,Noumea,NC,78.78,clear sky,-22.2763,166.4572,Hôtel Le Lagon
571,Champlin,US,71.01,clear sky,45.1889,-93.3975,Regency Inn & Suites
572,Macaubas,BR,74.41,scattered clouds,-13.0194,-42.6986,Hotel Portal
573,Abomey,BJ,71.56,overcast clouds,7.1829,1.9912,Residence Hotel Marie Emmanuella
581,Sur,OM,78.55,broken clouds,22.5667,59.5289,Sur Plaza Hotel
582,Kalaleh,IR,72.28,clear sky,37.3807,55.4916,عطر و ادکلن پارسیس
584,Lubango,AO,60.58,clear sky,-14.9172,13.4925,Hotel Serra da Chela
585,Dalbandin,PK,70.61,clear sky,28.8947,64.4101,Sanjrani House
586,Nanao,JP,63.28,moderate rain,37.05,136.9667,Hotel Alivio
587,Kasama,ZM,60.89,overcast clouds,-10.2129,31.1808,Kalebalika Cottages
588,Talara,PE,63.55,overcast clouds,-4.5772,-81.2719,Hostal Oro Negro
589,Pyay,MM,77.67,broken clouds,18.8167,95.2167,Shwe Pyi Thar
590,Wenatchee,US,79.83,clear sky,47.4235,-120.3103,SpringHill Suites by Marriott Wenatchee
596,Badiraguato,MX,73.27,few clouds,25.3667,-107.5167,"Hotel ""Real Del Campo"""
598,Katiola,CI,72.28,overcast clouds,8.1333,-5.1,Auberge Residence Yebin
599,Platteville,US,61.52,clear sky,42.7342,-90.4785,"Country Inn & Suites by Radisson, Platteville, WI"
600,Morondava,MG,73.85,clear sky,-20.2833,44.2833,La Case Bambou
601,Padang,ID,76.12,heavy intensity rain,-0.9492,100.3543,Mercure Padang
603,Lhokseumawe,ID,76.32,moderate rain,5.1801,97.1507,OYO 3278 Penginapan Alfajri
609,Tura,IN,72.16,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
613,Agadir,MA,68.45,overcast clouds,30.4202,-9.5982,Iberostar Founty Beach
619,Guiratinga,BR,76.84,few clouds,-16.3494,-53.7583,Hotel Angra do Cerrado - Guiratinga MT
625,Ahipara,NZ,60.3,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
626,Sinjar,IQ,78.21,clear sky,36.3209,41.8754,زوماني فون 1
627,Kisangani,CD,69.85,light rain,0.5167,25.2,Grand Ramela Hotel
628,Santa Rosalia,MX,79.92,clear sky,27.3167,-112.2833,Hotel Las Casitas Santa Rosalia
629,Florida,US,70.83,clear sky,28.7505,-82.5001,Sportsmens Cove
630,Namibe,AO,64.22,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
631,Abu Kamal,SY,79.9,clear sky,34.4506,40.9171,البوكمال
633,Mathbaria,BD,79.3,broken clouds,22.2876,89.9593,Shikdar Hotel
634,Maun,BW,73.22,clear sky,-19.9833,23.4167,Enviro Villa
636,Pringsewu,ID,79.43,overcast clouds,-5.3582,104.9744,Urban Style by Front One
637,Camapua,BR,79.81,clear sky,-19.5314,-54.0439,Comercial Estrela
639,Dawei,MM,78.33,overcast clouds,14.0833,98.2,Hotel Dawei
641,Point Fortin,TT,79.9,overcast clouds,10.1833,-61.6833,Jus Les' Suites
646,Moerai,PF,71.85,broken clouds,-22.4333,-151.3333,Le Manotel
648,Najran,SA,69.33,broken clouds,17.4924,44.1277,محمد هادي ال فطيح
649,Brigantine,US,61.0,mist,39.4101,-74.3646,Legacy Vacation Resorts - Brigantine Beach
651,Brenham,US,78.04,clear sky,30.1669,-96.3977,Hampton Inn & Suites Brenham
652,Lanxi,CN,67.21,overcast clouds,29.2195,119.477,Shangri-La Hotel
656,Chalmette,US,75.2,clear sky,29.9427,-89.9634,Marina Inn & Suites Chalmette-New Orleans
661,Flinders,AU,62.19,moderate rain,-34.5833,150.8552,Shellharbour Resort & Conference Centre
662,Altamira,BR,79.21,few clouds,-3.2033,-52.2064,Requinte Hotel
665,Nuevitas,CU,77.76,broken clouds,21.5453,-77.2644,Hotel Caonaba
666,El Alto,PE,62.08,overcast clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
667,Pokhara,NP,68.59,overcast clouds,28.2333,83.9833,OYO 170 Hotel View Point
668,Bafq,IR,73.04,clear sky,31.6128,55.4107,Alamdar Hotel
670,Alice Springs,AU,74.75,clear sky,-23.7,133.8833,Desert Palms Alice Springs
